,type,parent_path,name,last_modified,size
0,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-6-09_1-22-43_merged_complete_epoch_stats_df.csv,2024-07-16 13:34:29+00:00,196773
1,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-6-08_21-16-25_merged_complete_epoch_stats_df.csv,2024-07-16 13:30:10+00:00,75320
2,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-11-02_19-28-0_merged_complete_epoch_stats_df.csv,2024-07-16 13:17:36+00:00,21737
3,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-10_12-58-3_merged_complete_epoch_stats_df.csv,2024-07-16 13:17:18+00:00,30703
4,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-11-02_17-46-44_merged_complete_epoch_stats_df.csv,2024-07-16 13:17:13+00:00,2614
5,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-10_12-25-50_merged_complete_epoch_stats_df.csv,2024-07-16 13:16:54+00:00,29098
6,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-09_17-29-30_merged_complete_epoch_stats_df.csv,2024-07-16 13:15:57+00:00,45294
7,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-09_16-40-54_merged_complete_epoch_stats_df.csv,2024-07-16 13:14:41+00:00,13488
8,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-11-03_12-3-25_merged_complete_epoch_stats_df.csv,2024-07-16 13:10:30+00:00,7332
9,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-6-12_15-55-31_merged_complete_epoch_stats_df.csv,2024-07-16 13:09:34+00:00,44926
10,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-6-09_1-22-43_neuron_replay_stats_df.csv,2024-07-16 13:01:43+00:00,52613
11,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-6-08_21-16-25_neuron_replay_stats_df.csv,2024-07-16 12:21:11+00:00,50749
12,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-11-02_17-46-44_neuron_replay_stats_df.csv,2024-07-16 12:03:44+00:00,20838
13,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-09_17-29-30_neuron_replay_stats_df.csv,2024-07-16 11:44:06+00:00,21510
14,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-11-02_19-28-0_neuron_replay_stats_df.csv,2024-07-16 11:39:02+00:00,18948
15,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-10_12-58-3_neuron_replay_stats_df.csv,2024-07-16 11:36:57+00:00,22575
16,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-09_16-40-54_neuron_replay_stats_df.csv,2024-07-16 11:34:17+00:00,18100
17,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_GL-2006-4-10_12-25-50_neuron_replay_stats_df.csv,2024-07-16 11:31:13+00:00,19397
18,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv",2024-07-16 09:49:28+00:00,25638
19,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(laps_weighted_corr_merged_df)_tbin-1.5.csv",2024-07-16 09:49:28+00:00,20378
20,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_all_scores_merged_df)_tbin-0.02.csv",2024-07-16 09:49:28+00:00,335168
21,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv",2024-07-16 09:49:28+00:00,255016
22,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_weighted_corr_merged_df)_tbin-0.02.csv",2024-07-16 09:49:28+00:00,216053
23,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_all_scores_merged_df)_tbin-0.01.csv",2024-07-16 09:49:27+00:00,388054
24,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv",2024-07-16 09:49:27+00:00,254714
25,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0540AM-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_weighted_corr_merged_df)_tbin-0.01.csv",2024-07-16 09:49:27+00:00,215136
26,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(laps_marginals_df).csv",2024-07-16 09:49:26+00:00,18245
27,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(laps_time_bin_marginals_df).csv",2024-07-16 09:49:26+00:00,59748
28,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_marginals_df).csv",2024-07-16 09:49:26+00:00,195678
29,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNewComputedReplays-qclu_[1, 2]-frateThresh_5.0-(ripple_time_bin_marginals_df).csv",2024-07-16 09:49:26+00:00,3147592
30,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv,2024-07-16 09:30:33+00:00,28336
31,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_weighted_corr_merged_df)_tbin-1.5.csv,2024-07-16 09:30:33+00:00,23222
32,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.02.csv,2024-07-16 09:30:33+00:00,414319
33,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv,2024-07-16 09:30:33+00:00,267365
34,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.02.csv,2024-07-16 09:30:33+00:00,233140
35,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.01.csv,2024-07-16 09:30:32+00:00,414499
36,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv,2024-07-16 09:30:32+00:00,267019
37,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0530AM-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.01.csv,2024-07-16 09:30:32+00:00,233552
38,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-16 09:30:31+00:00,207119
39,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-16 09:30:31+00:00,2841153
40,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-16 09:30:30+00:00,20571
41,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-16 09:30:30+00:00,72246
42,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.02.csv,2024-07-16 09:28:01+00:00,242206
43,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv,2024-07-16 09:27:53+00:00,156089
44,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv,2024-07-16 09:27:52+00:00,29408
45,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_weighted_corr_merged_df)_tbin-1.5.csv,2024-07-16 09:27:52+00:00,23191
46,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.01.csv,2024-07-16 09:27:52+00:00,242446
47,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.02.csv,2024-07-16 09:27:52+00:00,136123
48,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv,2024-07-16 09:27:51+00:00,156004
49,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.01.csv,2024-07-16 09:27:46+00:00,136460
50,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-16 09:27:45+00:00,21123
51,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-16 09:27:45+00:00,410540
52,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-16 09:27:45+00:00,120204
53,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-16 09:27:45+00:00,1881376
54,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv,2024-07-16 09:27:38+00:00,29450
55,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.02.csv,2024-07-16 09:27:38+00:00,503006
56,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv,2024-07-16 09:27:38+00:00,324491
57,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.02.csv,2024-07-16 09:27:38+00:00,282608
58,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_weighted_corr_merged_df)_tbin-1.5.csv,2024-07-16 09:27:36+00:00,24057
59,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.01.csv,2024-07-16 09:27:35+00:00,503827
60,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv,2024-07-16 09:27:34+00:00,324391
61,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.01.csv,2024-07-16 09:27:33+00:00,283390
62,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-16 09:27:32+00:00,21981
63,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-16 09:27:32+00:00,76646
64,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-16 09:27:32+00:00,251215
65,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_two_2006-6-07_16-40-19__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-16 09:27:32+00:00,3364057
66,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv,2024-07-16 09:27:08+00:00,28959
67,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_weighted_corr_merged_df)_tbin-1.5.csv,2024-07-16 09:27:08+00:00,23324
68,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.02.csv,2024-07-16 09:27:08+00:00,229214
69,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv,2024-07-16 09:27:08+00:00,147750
70,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.02.csv,2024-07-16 09:27:08+00:00,128685
71,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-16 09:27:07+00:00,20751
72,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-16 09:27:07+00:00,62870
73,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-16 09:27:07+00:00,113237
74,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-16 09:27:07+00:00,1499852
75,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_all_scores_merged_df)_tbin-0.01.csv,2024-07-16 09:27:07+00:00,229214
76,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv,2024-07-16 09:27:07+00:00,147589
77,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_weighted_corr_merged_df)_tbin-0.01.csv,2024-07-16 09:27:07+00:00,128883
78,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(laps_simple_pf_pearson_merged_df)_tbin-1.5.csv",2024-07-16 09:22:47+00:00,25638
79,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(laps_weighted_corr_merged_df)_tbin-1.5.csv",2024-07-16 09:22:47+00:00,20378
80,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_all_scores_merged_df)_tbin-0.01.csv",2024-07-16 09:22:47+00:00,80396
81,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_all_scores_merged_df)_tbin-0.02.csv",2024-07-16 09:22:47+00:00,80495
82,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_simple_pf_pearson_merged_df)_tbin-0.01.csv",2024-07-16 09:22:47+00:00,52707
83,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_simple_pf_pearson_merged_df)_tbin-0.02.csv",2024-07-16 09:22:47+00:00,52807
84,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_weighted_corr_merged_df)_tbin-0.02.csv",2024-07-16 09:22:47+00:00,44595
85,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(laps_marginals_df).csv",2024-07-16 09:22:46+00:00,18245
86,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(laps_time_bin_marginals_df).csv",2024-07-16 09:22:46+00:00,59748
87,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_marginals_df).csv",2024-07-16 09:22:46+00:00,40312
88,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_time_bin_marginals_df).csv",2024-07-16 09:22:46+00:00,596056
89,file,/umms-kdiba/Data/Output/collected_outputs/,"2024-07-16_0520AM-kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_[1,2]-frateThresh_1.0-(ripple_weighted_corr_merged_df)_tbin-0.01.csv",2024-07-16 09:22:46+00:00,44577
90,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(laps_simple_pf_pearson_merged_df)_tbin-0.25.csv,2024-07-16 09:21:00+00:00,32758
91,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_all_scores_merged_df)_tbin-0.025.csv,2024-07-16 09:21:00+00:00,1634818
92,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_simple_pf_pearson_merged_df)_tbin-0.025.csv,2024-07-16 09:21:00+00:00,267846
93,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_weighted_corr_merged_df)_tbin-0.025.csv,2024-07-16 09:21:00+00:00,226039
94,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(laps_weighted_corr_merged_df)_tbin-0.25.csv,2024-07-16 09:20:59+00:00,27109
95,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(laps_simple_pf_pearson_merged_df)_tbin-0.1.csv,2024-07-16 09:20:57+00:00,32555
96,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_all_scores_merged_df)_tbin-0.1.csv,2024-07-16 09:20:57+00:00,151797
97,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_simple_pf_pearson_merged_df)_tbin-0.1.csv,2024-07-16 09:20:57+00:00,194679
98,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(laps_weighted_corr_merged_df)_tbin-0.1.csv,2024-07-16 09:20:56+00:00,26934
99,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_weighted_corr_merged_df)_tbin-0.1.csv,2024-07-16 09:20:56+00:00,163149
100,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_all_scores_merged_df)_tbin-0.086.csv,2024-07-16 09:20:55+00:00,193801
101,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-16_0520AM-kdiba_gor01_two_2006-6-09_22-24-40-(ripple_simple_pf_pearson_merged_df)_tbin-0.086.csv,2024-07-16 09:20:55+00:00,204302
