,type,parent_path,name,last_modified,size,sess
0,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[149].png,2026-09-17 21:16:36+00:00,14530,gor01_one_2006-6-12_15-55-31
1,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[150].png,2026-09-17 21:16:36+00:00,3729,gor01_one_2006-6-12_15-55-31
2,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[151].png,2026-09-17 21:16:36+00:00,3605,gor01_one_2006-6-12_15-55-31
3,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[152].png,2026-09-17 21:16:36+00:00,3365,gor01_one_2006-6-12_15-55-31
4,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[153].png,2026-09-17 21:16:36+00:00,3139,gor01_one_2006-6-12_15-55-31
5,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[154].png,2026-09-17 21:16:36+00:00,2851,gor01_one_2006-6-12_15-55-31
6,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[155].png,2026-09-17 21:16:36+00:00,10615,gor01_one_2006-6-12_15-55-31
7,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[156].png,2026-09-17 21:16:36+00:00,10721,gor01_one_2006-6-12_15-55-31
8,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[158].png,2026-09-17 21:16:36+00:00,775,gor01_one_2006-6-12_15-55-31
9,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[159].png,2026-09-17 21:16:36+00:00,3388,gor01_one_2006-6-12_15-55-31
10,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[160].png,2026-09-17 21:16:36+00:00,6372,gor01_one_2006-6-12_15-55-31
11,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[161].png,2026-09-17 21:16:36+00:00,10436,gor01_one_2006-6-12_15-55-31
12,file,/umms-kdiba/Data/Output/collected_outputs/figures/_temp_individual_posteriors/2026-09-17/gor01_one_2006-6-12_15-55-31/ripple/combined/multi/,p_x_given_n[162].png,2026-09-17 21:16:36+00:00,739,gor01_one_2006-6-12_15-55-31
