,type,parent_path,name,last_modified,size
0,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10_GL-fet11-01_12-58-54_neuron_replay_stats_df.csv,2024-07-10 18:05:13+00:00,17746
1,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-10 18:02:04+00:00,20571
2,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-10 18:02:04+00:00,72246
3,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-10 18:02:04+00:00,207119
4,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-08_14-26-15__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-10 18:02:04+00:00,2841153
5,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-10 17:59:25+00:00,21123
6,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-10 17:59:25+00:00,410540
7,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_marginals_df).csv,2024-07-10 17:59:25+00:00,120204
8,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_two_2006-6-09_22-24-40__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(ripple_time_bin_marginals_df).csv,2024-07-10 17:59:25+00:00,1881376
9,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_marginals_df).csv,2024-07-10 17:57:26+00:00,20751
10,file,/umms-kdiba/Data/Output/collected_outputs/,2024-07-10-kdiba_gor01_one_2006-6-09_1-22-43__withOldestImportedReplays-qclu_XX-frateThresh_0.1-(laps_time_bin_marginals_df).csv,2024-07-10 17:57:26+00:00,62870
